,0,1,2,3,4,5,6,7,8,9
0,499102,1380,0,0,659,2,0,0,0,66
1,2049,418760,1202,11,334,1,0,0,0,141
2,0,1729,45599,290,0,0,4,0,0,0
3,0,137,1921,18911,0,0,36,116,0,0
4,2790,58,0,0,1021,0,0,0,0,16
5,1985,8,0,0,3,0,0,0,0,0
6,0,0,629,327,0,0,461,7,0,0
7,0,0,0,196,0,0,11,23,0,0
8,6,0,0,0,6,0,0,0,0,0
9,3,0,0,0,0,0,0,0,0,0
