,0,1,2,3,4,5,6,7,8,9
0,493733,7074,0,0,301,39,0,0,2,60
1,7693,412072,2523,54,85,4,0,0,11,56
2,0,4841,42364,379,0,0,37,1,0,0
3,0,1440,1379,18138,0,0,87,77,0,0
4,2141,338,0,0,1376,1,0,0,14,15
5,1965,30,0,0,1,0,0,0,0,0
6,0,0,404,181,0,0,837,2,0,0
7,0,0,2,145,0,0,46,37,0,0
8,6,1,0,0,5,0,0,0,0,0
9,1,2,0,0,0,0,0,0,0,0
