,0,1,2,3,4,5,6,7,8,9
0,494833,2969,0,0,3115,222,0,0,4,66
1,1064,420225,969,28,188,0,0,1,7,16
2,0,1636,44912,1001,0,0,65,8,0,0
3,0,223,1346,19259,0,0,16,277,0,0
4,896,166,0,0,2801,0,0,0,4,18
5,1950,20,0,0,11,15,0,0,0,0
6,0,0,125,276,0,0,1018,5,0,0
7,0,0,2,169,0,0,10,49,0,0
8,4,1,0,0,7,0,0,0,0,0
9,2,1,0,0,0,0,0,0,0,0
