,0,1,2,3,4,5,6,7,8,9
0,493754,6257,0,0,1007,148,0,0,32,11
1,2704,416683,2269,627,206,1,0,0,3,5
2,0,4117,42257,1153,0,0,90,5,0,0
3,0,500,638,19837,0,0,102,44,0,0
4,745,247,0,0,2867,2,0,0,12,12
5,1957,28,0,0,6,5,0,0,0,0
6,0,0,297,193,0,0,917,17,0,0
7,0,0,1,157,0,0,8,64,0,0
8,3,0,0,0,9,0,0,0,0,0
9,3,0,0,0,0,0,0,0,0,0
